time,power_opt
2025-05-09 02:40:00,-547.701
2025-05-09 02:45:00,-451.681
2025-05-09 02:50:00,-411.691
2025-05-09 02:55:00,-439.671
2025-05-09 03:00:00,-767.641
2025-05-09 03:05:00,-535.651
2025-05-09 03:10:00,-543.671
2025-05-09 03:15:00,-487.671
2025-05-09 03:20:00,-523.641
2025-05-09 03:25:00,-467.701
2025-05-09 03:30:00,-543.701
2025-05-09 03:35:00,-439.671
2025-05-09 03:40:00,-651.641
2025-05-09 03:45:00,-519.701
2025-05-09 03:50:00,-635.701
2025-05-09 03:55:00,-503.661
2025-05-09 04:00:00,-447.681
2025-05-09 04:05:00,-515.691
2025-05-09 04:10:00,-491.631
2025-05-09 04:15:00,-527.641
2025-05-09 04:20:00,-463.651
2025-05-09 04:25:00,-463.671
2025-05-09 04:30:00,-435.671
2025-05-09 04:35:00,-491.671
2025-05-09 04:40:00,-483.701
2025-05-09 04:45:00,-547.651
2025-05-09 04:50:00,-611.681
2025-05-09 04:55:00,-515.651
2025-05-09 05:00:00,-495.701
2025-05-09 05:05:00,-483.661
2025-05-09 05:10:00,-551.661
2025-05-09 05:15:00,-775.661
2025-05-09 05:20:00,-867.651
2025-05-09 05:25:00,-827.681
2025-05-09 05:30:00,-523.671
2025-05-09 05:35:00,-611.681
2025-05-09 05:40:00,-623.671
2025-05-09 05:45:00,-551.641
2025-05-09 05:50:00,-559.681
2025-05-09 05:55:00,-535.651
2025-05-09 06:00:00,-579.691
2025-05-09 06:05:00,-511.661
2025-05-09 06:10:00,-539.701
2025-05-09 06:15:00,-503.661
2025-05-09 06:20:00,-539.661
2025-05-09 06:25:00,-671.701
2025-05-09 06:30:00,-719.661
2025-05-09 06:35:00,-687.701
2025-05-09 06:40:00,-603.661
2025-05-09 06:45:00,-643.661
2025-05-09 06:50:00,-607.621
2025-05-09 06:55:00,-779.681
2025-05-09 07:00:00,-527.651
2025-05-09 07:05:00,-675.691
2025-05-09 07:10:00,-603.691
2025-05-09 07:15:00,-611.691
2025-05-09 07:20:00,-615.651
2025-05-09 07:25:00,-623.631
2025-05-09 07:30:00,-683.681
2025-05-09 07:35:00,-551.651
2025-05-09 07:40:00,-575.701
2025-05-09 07:45:00,-555.651
2025-05-09 07:50:00,-539.681
2025-05-09 07:55:00,-615.671
2025-05-09 08:00:00,9000.0
2025-05-09 08:05:00,9000.0
2025-05-09 08:10:00,9000.0
2025-05-09 08:15:00,9000.0
2025-05-09 08:20:00,9000.0
2025-05-09 08:25:00,9000.0
2025-05-09 08:30:00,6197.821
2025-05-09 08:35:00,0.0
2025-05-09 08:40:00,0.0
2025-05-09 08:45:00,0.0
2025-05-09 08:50:00,0.0
2025-05-09 08:55:00,0.0
2025-05-09 09:00:00,0.0
2025-05-09 09:05:00,0.0
2025-05-09 09:10:00,0.0
2025-05-09 09:15:00,0.0
2025-05-09 09:20:00,0.0
2025-05-09 09:25:00,0.0
2025-05-09 09:30:00,0.0
2025-05-09 09:35:00,0.0
2025-05-09 09:40:00,0.0
2025-05-09 09:45:00,0.0
2025-05-09 09:50:00,0.0
2025-05-09 09:55:00,0.0
2025-05-09 10:00:00,0.0
2025-05-09 10:05:00,0.0
2025-05-09 10:10:00,0.0
2025-05-09 10:15:00,0.0
2025-05-09 10:20:00,0.0
2025-05-09 10:25:00,0.0
2025-05-09 10:30:00,0.0
2025-05-09 10:35:00,0.0
2025-05-09 10:40:00,0.0
2025-05-09 10:45:00,0.0
2025-05-09 10:50:00,0.0
2025-05-09 10:55:00,0.0
2025-05-09 11:00:00,-623.641
2025-05-09 11:05:00,-559.681
2025-05-09 11:10:00,-523.701
2025-05-09 11:15:00,-551.661
2025-05-09 11:20:00,-407.671
2025-05-09 11:25:00,-547.701
2025-05-09 11:30:00,-399.641
2025-05-09 11:35:00,-499.651
2025-05-09 11:40:00,-475.641
2025-05-09 11:45:00,-507.661
2025-05-09 11:50:00,-727.651
2025-05-09 11:55:00,-543.651
2025-05-09 12:00:00,-623.691
2025-05-09 12:05:00,-471.661
2025-05-09 12:10:00,-627.641
2025-05-09 12:15:00,-439.681
2025-05-09 12:20:00,-391.701
2025-05-09 12:25:00,-403.651
2025-05-09 12:30:00,-563.671
2025-05-09 12:35:00,-915.691
2025-05-09 12:40:00,-555.661
2025-05-09 12:45:00,-763.671
2025-05-09 12:50:00,-811.671
2025-05-09 12:55:00,-727.691
2025-05-09 13:00:00,-803.701
2025-05-09 13:05:00,-887.671
2025-05-09 13:10:00,-839.641
2025-05-09 13:15:00,-871.641
2025-05-09 13:20:00,-819.671
2025-05-09 13:25:00,-847.651
2025-05-09 13:30:00,-1043.651
2025-05-09 13:35:00,-695.651
2025-05-09 13:40:00,-459.651
2025-05-09 13:45:00,-431.671
2025-05-09 13:50:00,-547.671
2025-05-09 13:55:00,-599.661
2025-05-09 14:00:00,-667.631
2025-05-09 14:05:00,-543.681
2025-05-09 14:10:00,-715.671
2025-05-09 14:15:00,-699.671
2025-05-09 14:20:00,-799.651
2025-05-09 14:25:00,-715.671
2025-05-09 14:30:00,-839.661
2025-05-09 14:35:00,-703.671
2025-05-09 14:40:00,-755.671
2025-05-09 14:45:00,-635.651
2025-05-09 14:50:00,-831.651
2025-05-09 14:55:00,-747.651
2025-05-09 15:00:00,-543.661
2025-05-09 15:05:00,-687.651
2025-05-09 15:10:00,-475.661
2025-05-09 15:15:00,-479.671
2025-05-09 15:20:00,-579.671
2025-05-09 15:25:00,-591.651
2025-05-09 15:30:00,-423.651
2025-05-09 15:35:00,-491.691
2025-05-09 15:40:00,-723.651
2025-05-09 15:45:00,-543.671
2025-05-09 15:50:00,-595.671
2025-05-09 15:55:00,-655.671
2025-05-09 16:00:00,-607.681
2025-05-09 16:05:00,-443.621
2025-05-09 16:10:00,-515.691
2025-05-09 16:15:00,-467.661
2025-05-09 16:20:00,-767.681
