,time,power_opt
2299,2025-05-08 21:35:00,0.0
2300,2025-05-08 21:40:00,0.0
2301,2025-05-08 21:45:00,0.0
2302,2025-05-08 21:50:00,0.0
2303,2025-05-08 21:55:00,0.0
2304,2025-05-08 22:00:00,-517.194
2305,2025-05-08 22:05:00,-353.214
2306,2025-05-08 22:10:00,-289.224
2307,2025-05-08 22:15:00,-337.214
2308,2025-05-08 22:20:00,-257.224
2309,2025-05-08 22:25:00,-325.224
2310,2025-05-08 22:30:00,-245.204
2311,2025-05-08 22:35:00,-441.244
2312,2025-05-08 22:40:00,-225.204
2313,2025-05-08 22:45:00,-181.194
2314,2025-05-08 22:50:00,-345.204
2315,2025-05-08 22:55:00,-437.244
2316,2025-05-08 23:00:00,-457.194
2317,2025-05-08 23:05:00,-173.234
2318,2025-05-08 23:10:00,-281.214
2319,2025-05-08 23:15:00,-293.234
2320,2025-05-08 23:20:00,-585.224
2321,2025-05-08 23:25:00,-305.234
2322,2025-05-08 23:30:00,-333.204
2323,2025-05-08 23:35:00,-389.204
2324,2025-05-08 23:40:00,-229.254
2325,2025-05-08 23:45:00,-521.284
2326,2025-05-08 23:50:00,-197.224
2327,2025-05-08 23:55:00,-185.174
2328,2025-05-09 00:00:00,-113.224
2329,2025-05-09 00:05:00,-241.214
2330,2025-05-09 00:10:00,-193.224
2331,2025-05-09 00:15:00,-233.254
2332,2025-05-09 00:20:00,-301.194
2333,2025-05-09 00:25:00,-197.194
2334,2025-05-09 00:30:00,-197.194
2335,2025-05-09 00:35:00,-437.244
2336,2025-05-09 00:40:00,-485.254
2337,2025-05-09 00:45:00,-221.254
2338,2025-05-09 00:50:00,-441.214
2339,2025-05-09 00:55:00,-681.214
2340,2025-05-09 01:00:00,-517.234
2341,2025-05-09 01:05:00,-549.204
2342,2025-05-09 01:10:00,-481.224
2343,2025-05-09 01:15:00,-285.234
2344,2025-05-09 01:20:00,-333.224
2345,2025-05-09 01:25:00,-245.214
2346,2025-05-09 01:30:00,-493.194
2347,2025-05-09 01:35:00,-229.214
2348,2025-05-09 01:40:00,-425.224
2349,2025-05-09 01:45:00,-201.234
2350,2025-05-09 01:50:00,-149.224
2351,2025-05-09 01:55:00,-669.214
2352,2025-05-09 02:00:00,-197.204
2353,2025-05-09 02:05:00,-209.244
2354,2025-05-09 02:10:00,-565.204
2355,2025-05-09 02:15:00,-509.214
2356,2025-05-09 02:20:00,-517.234
2357,2025-05-09 02:25:00,-673.224
2358,2025-05-09 02:30:00,-533.204
2359,2025-05-09 02:35:00,-321.204
2360,2025-05-09 02:40:00,-321.254
2361,2025-05-09 02:45:00,-225.234
2362,2025-05-09 02:50:00,-185.244
2363,2025-05-09 02:55:00,-213.224
2364,2025-05-09 03:00:00,-541.194
2365,2025-05-09 03:05:00,-309.204
2366,2025-05-09 03:10:00,-317.224
2367,2025-05-09 03:15:00,-261.224
2368,2025-05-09 03:20:00,-297.194
2369,2025-05-09 03:25:00,-241.254
2370,2025-05-09 03:30:00,-317.254
2371,2025-05-09 03:35:00,-213.224
2372,2025-05-09 03:40:00,-425.194
2373,2025-05-09 03:45:00,-293.254
2374,2025-05-09 03:50:00,-409.254
2375,2025-05-09 03:55:00,-277.214
2376,2025-05-09 04:00:00,-221.234
2377,2025-05-09 04:05:00,-289.244
2378,2025-05-09 04:10:00,-265.184
2379,2025-05-09 04:15:00,-301.194
