,year,month,hour,value
140,2024,12,20,373.03694354838706
141,2024,12,21,29.9564435483871
142,2024,12,22,14.848056451612901
143,2024,12,23,-100.52659677419355
144,2025,1,0,-42.93808870967742
145,2025,1,1,-61.30908064516129
146,2025,1,2,-53.318540322580645
147,2025,1,3,-189.52286290322579
148,2025,1,4,-387.94741935483876
149,2025,1,5,-431.75709677419354
150,2025,1,6,-11.333475806451613
151,2025,1,7,-8.592967741935484
152,2025,1,8,-4.008387096774194
153,2025,1,9,68.83032258064516
154,2025,1,10,190.9298629032258
155,2025,1,11,398.7126129032258
156,2025,1,12,-340.43615322580644
157,2025,1,13,-369.3619354838709
158,2025,1,14,-45.135677419354835
159,2025,1,15,4.6006451612903225
160,2025,1,16,3.883911290322581
161,2025,1,17,1.050967741935484
162,2025,1,18,-4.234258064516129
163,2025,1,19,489.0588467741935
164,2025,1,20,587.5155887096774
165,2025,1,21,-0.8053387096774194
166,2025,1,22,0.5361290322580645
167,2025,1,23,-51.91501612903225
168,2025,2,0,-21.039428571428573
169,2025,2,1,-18.42401785714286
170,2025,2,2,-60.63682142857142
171,2025,2,3,-57.02276785714286
172,2025,2,4,-461.97807142857147
173,2025,2,5,-501.87790178571424
174,2025,2,6,457.5498214285714
175,2025,2,7,579.35875
176,2025,2,8,-43.704571428571434
177,2025,2,9,-18.87891964285714
178,2025,2,10,-8.211071428571428
179,2025,2,11,-191.41305357142855
180,2025,2,12,-391.1241428571429
181,2025,2,13,-468.90799107142857
182,2025,2,14,-75.18763392857143
183,2025,2,15,-0.8048214285714289
184,2025,2,16,112.2254017857143
185,2025,2,17,295.4970535714286
186,2025,2,18,302.0448660714286
187,2025,2,19,181.7770267857143
188,2025,2,20,45.43575892857143
189,2025,2,21,94.4094642857143
190,2025,2,22,0.13535714285714312
191,2025,2,23,-53.937642857142855
192,2025,3,0,-27.722879032258067
193,2025,3,1,-25.602766129032258
194,2025,3,2,-55.86577419354838
195,2025,3,3,-40.50226612903226
196,2025,3,4,-495.6218064516129
197,2025,3,5,-546.8320645161291
198,2025,3,6,437.19958870967747
199,2025,3,7,586.7561370967742
200,2025,3,8,-118.27109677419355
201,2025,3,9,-53.312935483870966
202,2025,3,10,-6.007354838709677
203,2025,3,11,-118.26510483870968
204,2025,3,12,-446.7014193548387
205,2025,3,13,-447.2744516129032
206,2025,3,14,0.7087741935483871
207,2025,3,15,8.712
208,2025,3,16,149.65280645161292
209,2025,3,17,349.4425483870968
210,2025,3,18,310.6293870967742
211,2025,3,19,152.478
212,2025,3,20,37.885314516129036
213,2025,3,21,83.35208870967742
214,2025,3,22,-3.041806451612903
215,2025,3,23,-40.56022580645161
216,2025,4,0,-67.33266666666667
217,2025,4,1,-40.161358333333325
218,2025,4,2,-56.179674999999996
219,2025,4,3,-124.60186666666667
220,2025,4,4,-409.7697083333333
221,2025,4,5,-470.943925
222,2025,4,6,454.65548333333334
223,2025,4,7,619.7916666666666
224,2025,4,8,-205.77430833333335
225,2025,4,9,-62.755675
226,2025,4,10,-20.717016666666666
227,2025,4,11,-288.73116666666664
228,2025,4,12,-321.4456166666667
229,2025,4,13,-310.9322916666667
230,2025,4,14,-9.945733333333333
231,2025,4,15,-7.08785
232,2025,4,16,98.35154166666666
233,2025,4,17,241.15464166666666
234,2025,4,18,340.12516666666664
235,2025,4,19,176.65116666666665
236,2025,4,20,89.20643333333334
237,2025,4,21,143.49392500000002
238,2025,4,22,-7.0485
239,2025,4,23,-72.79295
240,2025,5,0,-77.37690322580646
241,2025,5,1,-40.01776612903226
242,2025,5,2,-59.04508064516129
243,2025,5,3,-115.50182258064517
244,2025,5,4,-335.4667177419355
245,2025,5,5,-411.01885483870973
246,2025,5,6,451.2333064516129
247,2025,5,7,604.599814516129
248,2025,5,8,-231.30251612903226
249,2025,5,9,-84.64709677419354
250,2025,5,10,-43.12501612903226
251,2025,5,11,-232.58967741935484
252,2025,5,12,-273.49842741935487
253,2025,5,13,-266.1061290322581
254,2025,5,14,-66.12642741935484
255,2025,5,15,-8.145088709677418
256,2025,5,16,136.35115322580646
257,2025,5,17,383.4079193548387
258,2025,5,18,339.5862016129032
259,2025,5,19,68.58425806451613
260,2025,5,20,22.41442741935484
261,2025,5,21,103.78260483870967
262,2025,5,22,2.0888387096774195
263,2025,5,23,-177.46979838709677
264,2025,6,0,-54.52421666666667
265,2025,6,1,-22.004366666666666
266,2025,6,2,-61.16745
267,2025,6,3,-104.024975
268,2025,6,4,-427.1357
269,2025,6,5,-470.70518333333337
270,2025,6,6,495.6055666666667
271,2025,6,7,610.8433333333334
272,2025,6,8,-245.6839
273,2025,6,9,-105.70941666666666
274,2025,6,10,-22.257375000000003
275,2025,6,11,-279.47082500000005
276,2025,6,12,-284.6494083333333
277,2025,6,13,-261.5685833333333
278,2025,6,14,-49.86298333333333
279,2025,6,15,-10.848316666666667
280,2025,6,16,79.24798333333334
281,2025,6,17,237.7786
282,2025,6,18,332.62885
283,2025,6,19,161.292375
284,2025,6,20,63.23416666666667
285,2025,6,21,191.1086916666667
286,2025,6,22,-3.0893666666666664
287,2025,6,23,-84.74930833333333
