Time,Load_kW,Wind_kW,Served_kW,Charge_kW,Discharge_kW,SOC,Curtail_kW
2025-09-08 16:30:00,80960.0,5831.934738951001,4844.753932709981,1749.5804216853003,762.3996154442802,0.10029218958538166,0.0
2025-09-08 16:45:00,81840.0,10949.300731262243,9145.355380798024,3284.7902193786726,1480.8448689144525,0.10054857809356456,0.0
2025-09-08 17:00:00,81840.0,18574.07730835823,15782.100557532893,5572.22319250747,2780.2464416821304,0.10093059202314603,0.0
2025-09-08 17:15:00,81840.0,6837.010892149791,9502.237334643132,2051.103267644937,4716.329710138278,0.10034254556459363,0.0
2025-09-08 17:30:00,81840.0,1997.617615622791,3134.3861366706415,599.2852846868373,1736.0538057346876,0.1001000839496645,0.0
2025-09-08 17:45:00,81840.0,1042.8472880997588,1237.2281666287286,312.8541864299276,507.23506495889745,0.10005224837560185,0.0
2025-09-08 18:00:00,81840.0,1022.3269793908995,980.4286689679059,306.69809381726986,264.7997833942762,0.10005122027416351,0.0
2025-09-08 18:15:00,81840.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 18:30:00,81840.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 18:45:00,81840.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 19:00:00,81840.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 19:15:00,80960.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 19:30:00,80080.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 19:45:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 20:00:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 20:15:00,80080.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 20:30:00,80960.0,1040.007269116116,987.5943549882277,312.00218073483484,259.58926660694647,0.10005210608594904,0.0
2025-09-08 20:45:00,81840.0,1146.0191785448637,1066.2920707554003,343.8057535634591,264.0786457739957,0.10005741745811762,0.0
2025-09-08 21:00:00,80960.0,1458.0140087306663,1311.6069959275446,437.4042026191999,290.99718981607816,0.10007304891562767,0.0
2025-09-08 21:15:00,80080.0,1552.4446399367885,1456.9301650526797,465.7333919810365,370.2189170969278,0.1000777800465841,0.0
2025-09-08 21:30:00,79200.0,1646.8752711429108,1547.0094327727645,494.0625813428733,394.19674297272695,0.10008251117754056,0.0
2025-09-08 21:45:00,79200.0,1741.3059023490318,1637.0887004929557,522.3917707047095,418.1745688486332,0.100087242308497,0.0
2025-09-08 22:00:00,79200.0,1835.7365335551542,1727.1679682130402,550.7209600665462,442.1523947244324,0.10009197343945346,0.0
2025-09-08 22:15:00,79200.0,1404.0536480414528,1448.9677742293557,421.21609441243584,466.13022060033865,0.10007034541222397,0.0
2025-09-08 22:30:00,80080.0,1200.6895439799873,1196.9999830966256,360.20686319399624,356.5173023106344,0.10006015653393452,0.0
2025-09-08 22:45:00,80960.0,1058.4673925097943,1045.8062637642709,317.54021775293836,304.8790890074149,0.1000530309686924,0.0
2025-09-08 23:00:00,81840.0,1035.7472406406519,993.789108754543,310.72417219219557,268.76604030608667,0.10005189265146981,0.0
2025-09-08 23:15:00,81840.0,1022.3269793908995,978.625824917151,306.69809381726986,262.9969393435214,0.10005122027416351,0.0
2025-09-08 23:30:00,81840.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-08 23:45:00,80960.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 00:00:00,80080.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 00:15:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 00:30:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 00:45:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 01:00:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 01:15:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 01:30:00,80080.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 01:45:00,80960.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 02:00:00,81840.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 02:15:00,81840.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 02:30:00,80960.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 02:45:00,80080.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 03:00:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 03:15:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 03:30:00,79200.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-09-09 03:45:00,79200.0,1051.367345050687,995.5464081424273,315.41020351520615,259.58926660694647,0.10005267524456032,0.0
2025-09-09 04:00:00,80080.0,1220.5696768654866,1121.3619700610654,366.170903059646,266.9631962552248,0.1000611525615043,0.0
2025-09-09 04:15:00,80080.0,1329.9104077357329,1240.8643377647127,398.9731223207198,309.9270523496997,0.10006663071313808,0.0
2025-09-09 04:30:00,80080.0,1619.8950907983044,1471.617414291079,485.9685272394913,337.690850732266,0.10008115942583871,0.0
2025-09-09 04:45:00,79200.0,1916.6770745889733,1752.9977136677676,575.0031223766921,411.32376145548653,0.100096028694559,0.0
2025-09-09 05:00:00,78320.0,2345.7645744478905,2128.717844893195,703.7293723343671,486.6826427796716,0.10011752668867042,0.0
2025-09-09 05:15:00,77440.0,2923.7084376191956,2642.232447077276,877.1125312857587,595.6365407438391,0.10014648263302042,0.0
2025-09-09 05:30:00,77440.0,3501.6523007904984,3193.5446570336403,1050.4956902371496,742.3880464802916,0.10017543857737042,0.0
2025-09-09 05:45:00,78320.0,4446.0054749333285,4001.343384670074,1333.8016424799985,889.139552216744,0.10022275223480279,0.0
2025-09-09 06:00:00,80080.0,5398.831843945477,4908.112000956912,1619.649553183643,1128.9297101950785,0.10027049041332577,0.0
2025-09-09 06:15:00,80960.0,4489.315764433881,4513.392416918378,1346.7947293301643,1370.8713818146614,0.10022492215200839,0.0
