,time,value,type
9414,2025-05-01 16:30:00,0.6369,平
9415,2025-05-01 16:35:00,0.6369,平
9416,2025-05-01 16:40:00,0.6369,平
9417,2025-05-01 16:45:00,0.6369,平
9418,2025-05-01 16:50:00,0.6369,平
9419,2025-05-01 16:55:00,0.6369,平
9420,2025-05-01 17:00:00,0.6369,平
9421,2025-05-01 17:05:00,0.6369,平
9422,2025-05-01 17:10:00,0.6369,平
9423,2025-05-01 17:15:00,0.6369,平
9424,2025-05-01 17:20:00,0.6369,平
9425,2025-05-01 17:25:00,0.6369,平
9426,2025-05-01 17:30:00,0.6369,平
9427,2025-05-01 17:35:00,0.6369,平
9428,2025-05-01 17:40:00,0.6369,平
9429,2025-05-01 17:45:00,0.6369,平
9430,2025-05-01 17:50:00,0.6369,平
9431,2025-05-01 17:55:00,0.6369,平
9432,2025-05-01 18:00:00,0.9736,峰
9433,2025-05-01 18:05:00,0.9736,峰
9434,2025-05-01 18:10:00,0.9736,峰
9435,2025-05-01 18:15:00,0.9736,峰
9436,2025-05-01 18:20:00,0.9736,峰
9437,2025-05-01 18:25:00,0.9736,峰
9438,2025-05-01 18:30:00,0.9736,峰
9439,2025-05-01 18:35:00,0.9736,峰
9440,2025-05-01 18:40:00,0.9736,峰
9441,2025-05-01 18:45:00,0.9736,峰
9442,2025-05-01 18:50:00,0.9736,峰
9443,2025-05-01 18:55:00,0.9736,峰
9444,2025-05-01 19:00:00,0.9736,峰
9445,2025-05-01 19:05:00,0.9736,峰
9446,2025-05-01 19:10:00,0.9736,峰
9447,2025-05-01 19:15:00,0.9736,峰
9448,2025-05-01 19:20:00,0.9736,峰
9449,2025-05-01 19:25:00,0.9736,峰
9450,2025-05-01 19:30:00,0.9736,峰
9451,2025-05-01 19:35:00,0.9736,峰
9452,2025-05-01 19:40:00,0.9736,峰
9453,2025-05-01 19:45:00,0.9736,峰
9454,2025-05-01 19:50:00,0.9736,峰
9455,2025-05-01 19:55:00,0.9736,峰
9456,2025-05-01 20:00:00,0.9736,峰
9457,2025-05-01 20:05:00,0.9736,峰
9458,2025-05-01 20:10:00,0.9736,峰
9459,2025-05-01 20:15:00,0.9736,峰
9460,2025-05-01 20:20:00,0.9736,峰
9461,2025-05-01 20:25:00,0.9736,峰
9462,2025-05-01 20:30:00,0.9736,峰
9463,2025-05-01 20:35:00,0.9736,峰
9464,2025-05-01 20:40:00,0.9736,峰
9465,2025-05-01 20:45:00,0.9736,峰
9466,2025-05-01 20:50:00,0.9736,峰
9467,2025-05-01 20:55:00,0.9736,峰
9468,2025-05-01 21:00:00,0.6369,平
9469,2025-05-01 21:05:00,0.6369,平
9470,2025-05-01 21:10:00,0.6369,平
9471,2025-05-01 21:15:00,0.6369,平
9472,2025-05-01 21:20:00,0.6369,平
9473,2025-05-01 21:25:00,0.6369,平
9474,2025-05-01 21:30:00,0.6369,平
9475,2025-05-01 21:35:00,0.6369,平
9476,2025-05-01 21:40:00,0.6369,平
9477,2025-05-01 21:45:00,0.6369,平
9478,2025-05-01 21:50:00,0.6369,平
9479,2025-05-01 21:55:00,0.6369,平
9480,2025-05-01 22:00:00,0.1879,深谷
9481,2025-05-01 22:05:00,0.1879,深谷
9482,2025-05-01 22:10:00,0.1879,深谷
9483,2025-05-01 22:15:00,0.1879,深谷
9484,2025-05-01 22:20:00,0.1879,深谷
9485,2025-05-01 22:25:00,0.1879,深谷
9486,2025-05-01 22:30:00,0.1879,深谷
9487,2025-05-01 22:35:00,0.1879,深谷
9488,2025-05-01 22:40:00,0.1879,深谷
9489,2025-05-01 22:45:00,0.1879,深谷
9490,2025-05-01 22:50:00,0.1879,深谷
9491,2025-05-01 22:55:00,0.1879,深谷
9492,2025-05-01 23:00:00,0.1879,深谷
9493,2025-05-01 23:05:00,0.1879,深谷
9494,2025-05-01 23:10:00,0.1879,深谷
9495,2025-05-01 23:15:00,0.1879,深谷
9496,2025-05-01 23:20:00,0.1879,深谷
9497,2025-05-01 23:25:00,0.1879,深谷
9498,2025-05-01 23:30:00,0.1879,深谷
9499,2025-05-01 23:35:00,0.1879,深谷
9500,2025-05-01 23:40:00,0.1879,深谷
9501,2025-05-01 23:45:00,0.1879,深谷
9502,2025-05-01 23:50:00,0.1879,深谷
9503,2025-05-01 23:55:00,0.1879,深谷
9504,2025-05-02 00:00:00,0.1879,深谷
9505,2025-05-02 00:05:00,0.1879,深谷
9506,2025-05-02 00:10:00,0.1879,深谷
9507,2025-05-02 00:15:00,0.1879,深谷
9508,2025-05-02 00:20:00,0.1879,深谷
9509,2025-05-02 00:25:00,0.1879,深谷
9510,2025-05-02 00:30:00,0.1879,深谷
9511,2025-05-02 00:35:00,0.1879,深谷
9512,2025-05-02 00:40:00,0.1879,深谷
9513,2025-05-02 00:45:00,0.1879,深谷
9514,2025-05-02 00:50:00,0.1879,深谷
9515,2025-05-02 00:55:00,0.1879,深谷
9516,2025-05-02 01:00:00,0.1879,深谷
9517,2025-05-02 01:05:00,0.1879,深谷
9518,2025-05-02 01:10:00,0.1879,深谷
9519,2025-05-02 01:15:00,0.1879,深谷
9520,2025-05-02 01:20:00,0.1879,深谷
9521,2025-05-02 01:25:00,0.1879,深谷
9522,2025-05-02 01:30:00,0.1879,深谷
9523,2025-05-02 01:35:00,0.1879,深谷
9524,2025-05-02 01:40:00,0.1879,深谷
9525,2025-05-02 01:45:00,0.1879,深谷
