,time,value
13410,2025-07-15 13:30:00,8970.34
13411,2025-07-15 13:35:00,9006.35
13412,2025-07-15 13:40:00,9030.36
13413,2025-07-15 13:45:00,9010.37
13414,2025-07-15 13:50:00,9074.38
13415,2025-07-15 13:55:00,8990.39
13416,2025-07-15 14:00:00,9026.37
13417,2025-07-15 14:05:00,9026.37
13418,2025-07-15 14:10:00,9078.38
13419,2025-07-15 14:15:00,9078.35
13420,2025-07-15 14:20:00,9106.38
13421,2025-07-15 14:25:00,9166.35
13422,2025-07-15 14:30:00,9166.35
13423,2025-07-15 14:35:00,9066.37
13424,2025-07-15 14:40:00,9230.35
13425,2025-07-15 14:45:00,9090.37
13426,2025-07-15 14:50:00,9270.38
13427,2025-07-15 14:55:00,8994.380000000001
13428,2025-07-15 15:00:00,9066.37
13429,2025-07-15 15:05:00,9226.39
13430,2025-07-15 15:10:00,9238.36
13431,2025-07-15 15:15:00,9094.39
13432,2025-07-15 15:20:00,9338.37
13433,2025-07-15 15:25:00,9206.38
13434,2025-07-15 15:30:00,9290.37
13435,2025-07-15 15:35:00,9302.38
13436,2025-07-15 15:40:00,9362.37
13437,2025-07-15 15:45:00,9182.35
13438,2025-07-15 15:50:00,9254.4
13439,2025-07-15 15:55:00,9150.37
13440,2025-07-15 16:00:00,9166.37
13441,2025-07-15 16:05:00,9158.36
13442,2025-07-15 16:10:00,9262.37
13443,2025-07-15 16:15:00,9302.37
13444,2025-07-15 16:20:00,9118.36
13445,2025-07-15 16:25:00,9326.35
13446,2025-07-15 16:30:00,9370.38
13447,2025-07-15 16:35:00,9338.38
13448,2025-07-15 16:40:00,9166.43
13449,2025-07-15 16:45:00,9190.37
13450,2025-07-15 16:50:00,9106.38
13451,2025-07-15 16:55:00,9286.36
13452,2025-07-15 17:00:00,9354.36
13453,2025-07-15 17:05:00,9178.38
13454,2025-07-15 17:10:00,9190.38
13455,2025-07-15 17:15:00,9146.38
13456,2025-07-15 17:20:00,9174.38
13457,2025-07-15 17:25:00,9110.39
13458,2025-07-15 17:30:00,9010.38
13459,2025-07-15 17:35:00,9138.35
13460,2025-07-15 17:40:00,9106.37
13461,2025-07-15 17:45:00,9086.37
13462,2025-07-15 17:50:00,9070.38
13463,2025-07-15 17:55:00,9030.41
13464,2025-07-15 18:00:00,9062.37
13465,2025-07-15 18:05:00,8998.35
13466,2025-07-15 18:10:00,9166.36
13467,2025-07-15 18:15:00,9014.37
13468,2025-07-15 18:20:00,8974.369999999999
13469,2025-07-15 18:25:00,9062.34
13470,2025-07-15 18:30:00,8998.35
13471,2025-07-15 18:35:00,9042.41
13472,2025-07-15 18:40:00,9010.37
13473,2025-07-15 18:45:00,9266.35
13474,2025-07-15 18:50:00,9102.36
13475,2025-07-15 18:55:00,9106.39
13476,2025-07-15 19:00:00,9202.34
13477,2025-07-15 19:05:00,9174.37
13478,2025-07-15 19:10:00,9054.36
13479,2025-07-15 19:15:00,9206.37
13480,2025-07-15 19:20:00,9274.38
13481,2025-07-15 19:25:00,9398.38
13482,2025-07-15 19:30:00,9402.38
13483,2025-07-15 19:35:00,9162.37
13484,2025-07-15 19:40:00,9470.4
13485,2025-07-15 19:45:00,9286.39
13486,2025-07-15 19:50:00,9446.34
13487,2025-07-15 19:55:00,9218.38
13488,2025-07-15 20:00:00,9210.39
13489,2025-07-15 20:05:00,9050.4
13490,2025-07-15 20:10:00,9106.37
13491,2025-07-15 20:15:00,9326.35
13492,2025-07-15 20:20:00,9238.41
13493,2025-07-15 20:25:00,9226.37
13494,2025-07-15 20:30:00,9226.35
13495,2025-07-15 20:35:00,9422.37
13496,2025-07-15 20:40:00,9182.4
13497,2025-07-15 20:45:00,9150.37
13498,2025-07-15 20:50:00,9302.39
13499,2025-07-15 20:55:00,9314.4
13500,2025-07-15 21:00:00,9382.37
13501,2025-07-15 21:05:00,8966.369999999999
13502,2025-07-15 21:10:00,9030.39
13503,2025-07-15 21:15:00,8966.34
13504,2025-07-15 21:20:00,8990.369999999999
13505,2025-07-15 21:25:00,8974.369999999999
13506,2025-07-15 21:30:00,9122.39
13507,2025-07-15 21:35:00,9046.38
13508,2025-07-15 21:40:00,9050.4
13509,2025-07-15 21:45:00,8978.380000000001
13510,2025-07-15 21:50:00,8958.369999999999
13511,2025-07-15 21:55:00,8994.39
13512,2025-07-15 22:00:00,9070.37
13513,2025-07-15 22:05:00,9098.39
13514,2025-07-15 22:10:00,9090.4
13515,2025-07-15 22:15:00,9042.37
13516,2025-07-15 22:20:00,9106.37
13517,2025-07-15 22:25:00,9074.38
13518,2025-07-15 22:30:00,9094.37
13519,2025-07-15 22:35:00,9058.39
13520,2025-07-15 22:40:00,8994.369999999999
13521,2025-07-15 22:45:00,9042.39
13522,2025-07-15 22:50:00,8994.36
13523,2025-07-15 22:55:00,9034.38
13524,2025-07-15 23:00:00,9026.4
13525,2025-07-15 23:05:00,8966.380000000001
13526,2025-07-15 23:10:00,9082.44
13527,2025-07-15 23:15:00,9066.39
13528,2025-07-15 23:20:00,9074.37
13529,2025-07-15 23:25:00,9078.38
13530,2025-07-15 23:30:00,9142.37
13531,2025-07-15 23:35:00,9102.42
