,time,value
9512,2025-05-02 00:40:00,11002.35
9513,2025-05-02 00:45:00,10910.34
9514,2025-05-02 00:50:00,11042.34
9515,2025-05-02 00:55:00,10950.33
9516,2025-05-02 01:00:00,10974.37
9517,2025-05-02 01:05:00,11006.34
9518,2025-05-02 01:10:00,11034.37
9519,2025-05-02 01:15:00,10886.33
9520,2025-05-02 01:20:00,11006.33
9521,2025-05-02 01:25:00,11054.33
9522,2025-05-02 01:30:00,10746.32
9523,2025-05-02 01:35:00,10918.35
9524,2025-05-02 01:40:00,10830.34
9525,2025-05-02 01:45:00,10734.33
9526,2025-05-02 01:50:00,10666.34
9527,2025-05-02 01:55:00,10958.36
9528,2025-05-02 02:00:00,10930.32
9529,2025-05-02 02:05:00,10906.32
9530,2025-05-02 02:10:00,10962.35
9531,2025-05-02 02:15:00,10890.33
9532,2025-05-02 02:20:00,10754.35
9533,2025-05-02 02:25:00,10622.37
9534,2025-05-02 02:30:00,10390.33
9535,2025-05-02 02:35:00,10914.37
9536,2025-05-02 02:40:00,10954.33
9537,2025-05-02 02:45:00,10886.34
9538,2025-05-02 02:50:00,10878.34
9539,2025-05-02 02:55:00,10890.35
9540,2025-05-02 03:00:00,10950.34
9541,2025-05-02 03:05:00,10950.31
9542,2025-05-02 03:10:00,10858.33
9543,2025-05-02 03:15:00,10906.33
9544,2025-05-02 03:20:00,10950.32
9545,2025-05-02 03:25:00,10998.32
9546,2025-05-02 03:30:00,10918.34
9547,2025-05-02 03:35:00,10966.37
9548,2025-05-02 03:40:00,10922.35
9549,2025-05-02 03:45:00,10718.33
9550,2025-05-02 03:50:00,10866.34
9551,2025-05-02 03:55:00,10866.32
9552,2025-05-02 04:00:00,10958.34
9553,2025-05-02 04:05:00,10758.35
9554,2025-05-02 04:10:00,10850.35
9555,2025-05-02 04:15:00,10998.32
9556,2025-05-02 04:20:00,10870.39
9557,2025-05-02 04:25:00,10910.35
9558,2025-05-02 04:30:00,10638.33
9559,2025-05-02 04:35:00,10766.34
9560,2025-05-02 04:40:00,10878.36
9561,2025-05-02 04:45:00,10918.33
9562,2025-05-02 04:50:00,10922.34
9563,2025-05-02 04:55:00,10946.34
9564,2025-05-02 05:00:00,10726.36
9565,2025-05-02 05:05:00,10834.34
9566,2025-05-02 05:10:00,10982.34
9567,2025-05-02 05:15:00,10866.34
9568,2025-05-02 05:20:00,10834.36
9569,2025-05-02 05:25:00,10898.31
9570,2025-05-02 05:30:00,10978.34
9571,2025-05-02 05:35:00,10818.39
9572,2025-05-02 05:40:00,11010.39
9573,2025-05-02 05:45:00,10646.35
9574,2025-05-02 05:50:00,10490.36
9575,2025-05-02 05:55:00,10722.33
9576,2025-05-02 06:00:00,10622.35
9577,2025-05-02 06:05:00,10834.32
9578,2025-05-02 06:10:00,10694.38
9579,2025-05-02 06:15:00,10762.36
9580,2025-05-02 06:20:00,10750.34
9581,2025-05-02 06:25:00,10826.32
9582,2025-05-02 06:30:00,10830.38
9583,2025-05-02 06:35:00,10734.34
9584,2025-05-02 06:40:00,10698.33
9585,2025-05-02 06:45:00,10658.37
9586,2025-05-02 06:50:00,10738.3
9587,2025-05-02 06:55:00,10774.39
9588,2025-05-02 07:00:00,10654.35
9589,2025-05-02 07:05:00,10770.3
9590,2025-05-02 07:10:00,10706.35
9591,2025-05-02 07:15:00,10730.36
9592,2025-05-02 07:20:00,10726.33
9593,2025-05-02 07:25:00,10638.33
9594,2025-05-02 07:30:00,10638.38
9595,2025-05-02 07:35:00,10738.34
9596,2025-05-02 07:40:00,10618.34
9597,2025-05-02 07:45:00,10690.34
9598,2025-05-02 07:50:00,10694.31
9599,2025-05-02 07:55:00,10734.35
9600,2025-05-02 08:00:00,10818.36
9601,2025-05-02 08:05:00,10794.33
9602,2025-05-02 08:10:00,10634.41
9603,2025-05-02 08:15:00,10758.33
9604,2025-05-02 08:20:00,10634.35
9605,2025-05-02 08:25:00,10734.35
9606,2025-05-02 08:30:00,10638.36
9607,2025-05-02 08:35:00,10638.31
9608,2025-05-02 08:40:00,10718.37
9609,2025-05-02 08:45:00,10582.33
9610,2025-05-02 08:50:00,10638.37
9611,2025-05-02 08:55:00,10470.32
9612,2025-05-02 09:00:00,10574.36
9613,2025-05-02 09:05:00,10622.36
9614,2025-05-02 09:10:00,10582.36
9615,2025-05-02 09:15:00,10430.36
9616,2025-05-02 09:20:00,10650.35
9617,2025-05-02 09:25:00,10522.36
9618,2025-05-02 09:30:00,10690.35
9619,2025-05-02 09:35:00,10802.33
9620,2025-05-02 09:40:00,10682.35
9621,2025-05-02 09:45:00,10822.38
9622,2025-05-02 09:50:00,10742.33
9623,2025-05-02 09:55:00,10830.37
9624,2025-05-02 10:00:00,10746.32
9625,2025-05-02 10:05:00,10794.34
9626,2025-05-02 10:10:00,10906.36
9627,2025-05-02 10:15:00,10770.33
9628,2025-05-02 10:20:00,10714.32
9629,2025-05-02 10:25:00,10802.33
9630,2025-05-02 10:30:00,10814.37
